
For documentation, see idn-chars.html

#*** Script: LATIN ***

# Atomic
01CE          ; LATIN ; Decomposable # L& (ǎ) LATIN SMALL LETTER A WITH CARON
00E5          ; LATIN ; Decomposable # L& (å) LATIN SMALL LETTER A WITH RING ABOVE
01FB          ; LATIN ; Decomposable # L& (ǻ) LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE
00E4          ; LATIN ; Decomposable # L& (ä) LATIN SMALL LETTER A WITH DIAERESIS
01DF          ; LATIN ; Decomposable # L& (ǟ) LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
00E3          ; LATIN ; Decomposable # L& (ã) LATIN SMALL LETTER A WITH TILDE
0227          ; LATIN ; Decomposable # L& (ȧ) LATIN SMALL LETTER A WITH DOT ABOVE
01E1          ; LATIN ; Decomposable # L& (ǡ) LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON
0105          ; LATIN ; Decomposable # L& (ą) LATIN SMALL LETTER A WITH OGONEK
0101          ; LATIN ; Decomposable # L& (ā) LATIN SMALL LETTER A WITH MACRON
1EA3          ; LATIN ; Decomposable # L& (ả) LATIN SMALL LETTER A WITH HOOK ABOVE
0201          ; LATIN ; Decomposable # L& (ȁ) LATIN SMALL LETTER A WITH DOUBLE GRAVE
0203          ; LATIN ; Decomposable # L& (ȃ) LATIN SMALL LETTER A WITH INVERTED BREVE
1EA1          ; LATIN ; Decomposable # L& (ạ) LATIN SMALL LETTER A WITH DOT BELOW
1EB7          ; LATIN ; Decomposable # L& (ặ) LATIN SMALL LETTER A WITH BREVE AND DOT BELOW
1EAD          ; LATIN ; Decomposable # L& (ậ) LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW
1E01          ; LATIN ; Decomposable # L& (ḁ) LATIN SMALL LETTER A WITH RING BELOW
01FD          ; LATIN ; Decomposable # L& (ǽ) LATIN SMALL LETTER AE WITH ACUTE
01E3          ; LATIN ; Decomposable # L& (ǣ) LATIN SMALL LETTER AE WITH MACRON
1E03          ; LATIN ; Decomposable # L& (ḃ) LATIN SMALL LETTER B WITH DOT ABOVE
1E05          ; LATIN ; Decomposable # L& (ḅ) LATIN SMALL LETTER B WITH DOT BELOW
1E07          ; LATIN ; Decomposable # L& (ḇ) LATIN SMALL LETTER B WITH LINE BELOW
0107          ; LATIN ; Decomposable # L& (ć) LATIN SMALL LETTER C WITH ACUTE
0109          ; LATIN ; Decomposable # L& (ĉ) LATIN SMALL LETTER C WITH CIRCUMFLEX
010D          ; LATIN ; Decomposable # L& (č) LATIN SMALL LETTER C WITH CARON
010B          ; LATIN ; Decomposable # L& (ċ) LATIN SMALL LETTER C WITH DOT ABOVE
00E7          ; LATIN ; Decomposable # L& (ç) LATIN SMALL LETTER C WITH CEDILLA
1E09          ; LATIN ; Decomposable # L& (ḉ) LATIN SMALL LETTER C WITH CEDILLA AND ACUTE
010F          ; LATIN ; Decomposable # L& (ď) LATIN SMALL LETTER D WITH CARON
1E0B          ; LATIN ; Decomposable # L& (ḋ) LATIN SMALL LETTER D WITH DOT ABOVE
1E11          ; LATIN ; Decomposable # L& (ḑ) LATIN SMALL LETTER D WITH CEDILLA
1E0D          ; LATIN ; Decomposable # L& (ḍ) LATIN SMALL LETTER D WITH DOT BELOW
1E13          ; LATIN ; Decomposable # L& (ḓ) LATIN SMALL LETTER D WITH CIRCUMFLEX BELOW
1E0F          ; LATIN ; Decomposable # L& (ḏ) LATIN SMALL LETTER D WITH LINE BELOW
00E9          ; LATIN ; Decomposable # L& (é) LATIN SMALL LETTER E WITH ACUTE
00E8          ; LATIN ; Decomposable # L& (è) LATIN SMALL LETTER E WITH GRAVE
0115          ; LATIN ; Decomposable # L& (ĕ) LATIN SMALL LETTER E WITH BREVE
